season_year,season,player_id,player,salary,team_id,team,team_option,player_option,qualifying_offer,two_way,terminated,notes,source
2015,2015-16,3100,Kobe Bryant,25000000,13,Los Angeles Lakers,False,False,False,False,False,,"HoopsHype salaries GraphQL endpoint, accessed 2026-07-07"
2015,2015-16,214152,LeBron James,22970500,5,Cleveland Cavaliers,False,False,False,False,False,,"HoopsHype salaries GraphQL endpoint, accessed 2026-07-07"
2015,2015-16,172890,Carmelo Anthony,22875000,18,New York Knicks,False,False,False,False,False,,"HoopsHype salaries GraphQL endpoint, accessed 2026-07-07"
2015,2015-16,253975,Dwight Howard,22359364,10,Houston Rockets,False,False,False,False,False,,"HoopsHype salaries GraphQL endpoint, accessed 2026-07-07"
2015,2015-16,172631,Chris Bosh,22192730,14,Miami Heat,False,False,False,False,False,,"HoopsHype salaries GraphQL endpoint, accessed 2026-07-07"
2015,2015-16,329525,Kevin Durant,21971850,25,Oklahoma City Thunder,False,False,False,False,False,,"HoopsHype salaries GraphQL endpoint, accessed 2026-07-07"
2015,2015-16,3501,Joe Johnson,21894863,17,Brooklyn Nets,False,False,False,False,False,,"HoopsHype salaries GraphQL endpoint, accessed 2026-07-07"
2015,2015-16,229598,Chris Paul,21468695,12,Los Angeles Clippers,False,False,False,False,False,,"HoopsHype salaries GraphQL endpoint, accessed 2026-07-07"
2015,2015-16,399612,Derrick Rose,20093064,4,Chicago Bulls,False,False,False,False,False,,"HoopsHype salaries GraphQL endpoint, accessed 2026-07-07"
2015,2015-16,61849,Dwyane Wade,20000000,14,Miami Heat,False,False,False,False,False,,"HoopsHype salaries GraphQL endpoint, accessed 2026-07-07"
2015,2015-16,393441,Marc Gasol,19689000,29,Memphis Grizzlies,False,False,False,False,False,,"HoopsHype salaries GraphQL endpoint, accessed 2026-07-07"
2015,2015-16,330047,Brook Lopez,19689000,17,Brooklyn Nets,False,False,False,False,False,,"HoopsHype salaries GraphQL endpoint, accessed 2026-07-07"
2015,2015-16,398142,DeAndre Jordan,19689000,12,Los Angeles Clippers,False,False,False,False,False,,"HoopsHype salaries GraphQL endpoint, accessed 2026-07-07"
2015,2015-16,395374,Kevin Love,19689000,5,Cleveland Cavaliers,False,False,False,False,False,,"HoopsHype salaries GraphQL endpoint, accessed 2026-07-07"
2015,2015-16,266554,LaMarcus Aldridge,19689000,24,San Antonio Spurs,False,False,False,False,False,,"HoopsHype salaries GraphQL endpoint, accessed 2026-07-07"
2015,2015-16,399725,Blake Griffin,18862876,12,Los Angeles Clippers,False,False,False,False,False,,"HoopsHype salaries GraphQL endpoint, accessed 2026-07-07"
2015,2015-16,237675,Paul Millsap,18671659,1,Atlanta Hawks,False,False,False,False,False,,"HoopsHype salaries GraphQL endpoint, accessed 2026-07-07"
2015,2015-16,469218,Paul George,16900000,11,Indiana Pacers,False,False,False,False,False,,"HoopsHype salaries GraphQL endpoint, accessed 2026-07-07"
2015,2015-16,329830,Russell Westbrook,16744218,25,Oklahoma City Thunder,False,False,False,False,False,,"HoopsHype salaries GraphQL endpoint, accessed 2026-07-07"
2015,2015-16,295809,Wesley Matthews,16407500,6,Dallas Mavericks,False,False,False,False,False,,"HoopsHype salaries GraphQL endpoint, accessed 2026-07-07"
2015,2015-16,467468,Greg Monroe,16407500,15,Milwaukee Bucks,False,False,False,False,False,,"HoopsHype salaries GraphQL endpoint, accessed 2026-07-07"
2015,2015-16,458730,Jimmy Butler,16407500,4,Chicago Bulls,False,False,False,False,False,,"HoopsHype salaries GraphQL endpoint, accessed 2026-07-07"
2015,2015-16,,Enes Kanter,16407500,25,Oklahoma City Thunder,False,False,False,False,False,,"HoopsHype salaries GraphQL endpoint, accessed 2026-07-07"
